;familyKey;family;rank
0;8003.0;melitidae;family
1;8004.0;mimonectidae;family
2;8005.0;ochlesidae;family
3;8006.0;oedicerotidae;family
4;8007.0;opisidae;family
5;8008.0;paraphronimidae;family
6;4420.0;caprellidae;family
7;8010.0;phoxocephalidae;family
8;8011.0;phrosinidae;family
9;4420.0;caprellidae;family
10;8013.0;pontoporeiidae;family
11;8014.0;pronoidae;family
12;8015.0;stegocephalidae;family
13;8016.0;stenothoidae;family
14;8017.0;vitjazianidae;family
15;8018.0;parabathynellidae;family
16;8019.0;aethridae;family
17;8020.0;albuneidae;family
18;8021.0;aristeidae;family
19;8022.0;astacidae;family
20;8023.0;atelecyclidae;family
21;8025.0;cimeliidae;family
22;8026.0;axiidae;family
23;8027.0;bathypalaemonellidae;family
24;8028.0;benthesicymidae;family
25;8029.0;calappidae;family
26;8030.0;campylonotidae;family
27;8031.0;cheiragonidae;family
28;8032.0;chirostylidae;family
29;8033.0;coenobitidae;family
30;8034.0;cryptochiridae;family
31;8035.0;cyclodorippidae;family
32;8036.0;daldorfiidae;family
33;8037.0;dorippidae;family
34;8038.0;dromiidae;family
35;8039.0;enoplometopidae;family
36;8040.0;glyphocrangonidae;family
37;8041.0;gnathophyllidae;family
38;8042.0;goneplacidae;family
39;8043.0;grapsidae;family
40;8044.0;hippidae;family
41;8045.0;homolidae;family
42;8046.0;inachidae;family
43;8047.0;kiwaidae;family
44;8048.0;caulophrynidae;family
45;8049.0;centrophrynidae;family
46;8050.0;ceratiidae;family
47;8051.0;diceratiidae;family
48;8052.0;himantolophidae;family
49;8053.0;linophrynidae;family
50;8054.0;neoceratiidae;family
51;8055.0;seisonidae;family
52;8056.0;habrotrochidae;family
53;8057.0;philodinavidae;family
54;8058.0;philodinidae;family
55;8059.0;asplanchnidae;family
56;8060.0;birgeidae;family
57;8061.0;euchlanidae;family
58;8062.0;gastropodidae;family
59;8063.0;ituridae;family
60;8064.0;lecanidae;family
61;8065.0;lindiidae;family
62;8066.0;mytilinidae;family
63;8067.0;notommatidae;family
64;8068.0;proalidae;family
65;8069.0;scaridiidae;family
66;8070.0;picrophilaceae;family
67;8071.0;acidothermaceae;family
68;8072.0;actinosynnemataceae;family
69;8073.0;beutenbergiaceae;family
70;8074.0;brevibacteriaceae;family
71;8075.0;dermabacteraceae;family
72;8076.0;dermacoccaceae;family
73;8077.0;dermatophilaceae;family
74;8078.0;dietziaceae;family
75;8079.0;frankiaceae;family
76;8080.0;glycomycetaceae;family
77;8081.0;gordoniaceae;family
78;8082.0;jonesiaceae;family
79;3839.0;nakamurellaceae;family
80;8084.0;mycobacteriaceae;family
81;8085.0;nocardiaceae;family
82;8086.0;nocardiopsaceae;family
83;8087.0;nocardioidaceae;family
84;8088.0;propionibacteriaceae;family
85;8089.0;rarobacteraceae;family
